default_code,name,categ_id,list_price,standard_price,type,x_puff_count,x_flavor,x_volume,x_nicotine_level,x_pack_size
DGEBAP500016,geek bar disposable 10 pack | passion fruit,Disposables,19.99,36.5,goods,0,Passion Fruit,,,10
DGEBAP500018,geek bar disposable 10 pack | green mango,Disposables,19.99,36.5,goods,0,Green Mango,,,10
DGBABP500510,geek bar b5000 puffs disposable 10-pack | guava ice,Disposables,99.97,51.0,goods,0,Guava Ice,,,10
DGBMMP500501,geek bar meloso max 9000 puffs disposable | 5.0% | berry trio,Disposables,56.0,30.5,goods,0,Berry Trio,,5.0%,5
DGBMMP500502,geek bar meloso max 9000 puffs disposable | 5.0% | clear,Disposables,56.0,30.5,goods,0,Clear,,5.0%,5
DGBMMP500503,geek bar meloso max 9000 puffs disposable | 5.0% | cool mint,Disposables,56.0,30.5,goods,0,Cool Mint,,5.0%,5
DGBMMP500504,geek bar meloso max 9000 puffs disposable | 5.0% | fuji melon ice,Disposables,56.0,30.5,goods,0,Fuji Melon Ice,,5.0%,5
DGBMMP500505,geek bar meloso max 9000 puffs disposable | 5.0% | ginger ale,Disposables,56.0,30.5,goods,0,Ginger Ale,,5.0%,5
DGBMMP500506,geek bar meloso max 9000 puffs disposable | 5.0% | green monster,Disposables,56.0,30.5,goods,0,Green Monster,,5.0%,5
DGBMMP500507,geek bar meloso max 9000 puffs disposable | 5.0% | mexico mango,Disposables,56.0,30.5,goods,0,Mexico Mango,,5.0%,5
DGBMMP500508,geek bar meloso max 9000 puffs disposable | 5.0% | peach ice,Disposables,56.0,30.5,goods,0,Peach Ice,,5.0%,5
DGBMMP500509,geek bar meloso max 9000 puffs disposable | 5.0% | sour apple ice,Disposables,56.0,30.5,goods,0,Sour Apple Ice,,5.0%,5
DGBMMP500510,geek bar meloso max 9000 puffs disposable | 5.0% | stone freeze,Disposables,56.0,30.5,goods,0,Stone Freeze,,5.0%,5
DGBMMP500511,geek bar meloso max 9000 puffs disposable | 5.0% | strawberry ice,Disposables,56.0,30.5,goods,0,Strawberry Ice,,5.0%,5
DGBMMP500512,geek bar meloso max 9000 puffs disposable | 5.0% | strawberry mango,Disposables,56.0,30.5,goods,0,Strawberry Mango,,5.0%,5
DGBMMP500513,geek bar meloso max 9000 puffs disposable | 5.0% | strawberry watermelon,Disposables,56.0,30.5,goods,0,Strawberry Watermelon,,5.0%,5
DGBMMP500514,geek bar meloso max 9000 puffs disposable | 5.0% | tropical rainbow blast,Disposables,56.0,30.5,goods,0,Tropical Rainbow Blast,,5.0%,5
DGBMMP500515,geek bar meloso max 9000 puffs disposable | 5.0% | watermelon ice,Disposables,56.0,30.5,goods,0,Watermelon Ice,,5.0%,5
DGBMMP500521,geek bar meloso max 9000 puffs disposable | 5.0% | purple haze,Disposables,56.0,30.5,goods,0,Purple Haze,,5.0%,5
DGBMMP500520,geek bar meloso max 9000 puffs disposable | 5.0% | nectarine,Disposables,56.0,30.5,goods,0,Nectarine,,5.0%,5
DGBMMP500516,geek bar meloso max 9000 puffs disposable | 5.0% | apple sunrise,Disposables,56.0,30.5,goods,0,Apple Sunrise,,5.0%,5
DGBMMP500517,geek bar meloso max 9000 puffs disposable | 5.0% | coconut shake,Disposables,56.0,30.5,goods,0,Coconut Shake,,5.0%,5
DGBMMP500518,geek bar meloso max 9000 puffs disposable | 5.0% | columbian coffee ice,Disposables,56.0,30.5,goods,0,Columbian Coffee Ice,,5.0%,5
DGBMMP500519,geek bar meloso max 9000 puffs disposable | 5.0% | meta moon,Disposables,56.0,30.5,goods,0,Meta Moon,,5.0%,5
DGBPUP500116,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | black cherry",Disposables,65.0,34.75,goods,5000,Black Cherry,16mL,5.0%,5
DGBPUP500117,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | blue mint",Disposables,65.0,34.75,goods,5000,Blue Mint,16mL,5.0%,5
DGBPUP500118,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | cherry bomb",Disposables,65.0,34.75,goods,5000,Cherry Bomb,16mL,5.0%,5
DGBPUP500119,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | dragon melon",Disposables,65.0,34.75,goods,5000,Dragon Melon,16mL,5.0%,5
DGBPUP500120,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | grape blow pop",Disposables,65.0,34.75,goods,5000,Grape Blow Pop,16mL,5.0%,5
DGBPUS500139,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | peach ice (int)",Disposables,13.0,6.95,goods,5000,Peach Ice (INT),16mL,5.0%,1
DGBPUS500140,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | mexico mango ice (int)",Disposables,13.0,6.95,goods,5000,Mexico Mango Ice (INT),16mL,5.0%,1
DGBPUS500141,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen pina colada",Disposables,13.0,6.95,goods,5000,Frozen Pina Colada,16mL,5.0%,1
DGBPUS500142,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen strawberry",Disposables,13.0,6.95,goods,5000,Frozen Strawberry,16mL,5.0%,1
DGBPUS500143,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen cherry apple",Disposables,13.0,6.95,goods,5000,Frozen Cherry Apple,16mL,5.0%,1
DGBPUS500144,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen blackberry fab",Disposables,13.0,6.95,goods,5000,Frozen Blackberry Fab,16mL,5.0%,1
DGBPUS500145,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen watermelon",Disposables,13.0,6.95,goods,5000,Frozen Watermelon,16mL,5.0%,1
DGBPUS500146,"geek bar pulse 15,000 puffs disposable | 16ml | 5.0% | frozen white grape",Disposables,13.0,6.95,goods,5000,Frozen White Grape,16mL,5.0%,1
DGBSVS500201,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | blackberry fcuking fab,Disposables,15.95,7.85,goods,25000,Blackberry Fcuking Fab,16mL,5.0%,1
DGBSVS500202,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | blue razz ice,Disposables,15.95,7.85,goods,25000,Blue Razz Ice,16mL,5.0%,1
DGBSVS500204,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | cherry strazz,Disposables,15.95,7.85,goods,25000,Cherry Strazz,16mL,5.0%,1
DGBSVS500205,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | miami mint,Disposables,15.95,7.85,goods,25000,Miami Mint,16mL,5.0%,1
DGBSVS500206,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | peach blue slushy,Disposables,15.95,7.85,goods,25000,Peach Blue Slushy,16mL,5.0%,1
DGBSVS500207,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | peach raspberry,Disposables,15.95,7.85,goods,25000,Peach Raspberry,16mL,5.0%,1
DGBSVS500208,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | sky walker,Disposables,15.95,7.85,goods,25000,Sky Walker,16mL,5.0%,1
DGBSVS500209,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | sour apple ice,Disposables,15.95,7.85,goods,25000,Sour Apple Ice,16mL,5.0%,1
DGBSVS500210,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | sour watermelon blue razz,Disposables,15.95,7.85,goods,25000,Sour Watermelon Blue Razz,16mL,5.0%,1
DGBSVS500211,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | strawberry banana,Disposables,15.95,7.85,goods,25000,Strawberry Banana,16mL,5.0%,1
DGBSVS500212,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | strawberry ice,Disposables,15.95,7.85,goods,25000,Strawberry Ice,16mL,5.0%,1
DGBSVS500213,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | strawberry watermelon coconut,Disposables,15.95,7.85,goods,25000,Strawberry Watermelon Coconut,16mL,5.0%,1
DGBSVS500214,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | triple berry,Disposables,15.95,7.85,goods,25000,Triple Berry,16mL,5.0%,1
DGBSVS500215,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | twisted b-pop,Disposables,15.95,7.85,goods,25000,Twisted B-Pop,16mL,5.0%,1
DGBSVS500203,geek bar skyview 25000 puffs rechargeable disposable | 16ml | 5.0% | cherry lemon mint,Disposables,15.95,7.85,goods,25000,Cherry Lemon Mint,16mL,5.0%,1
DGBXPS500201,geek bar pulse x patriot edition 25000 puffs disposable | 18ml | 5.0% | blue razz ice,Disposables,14.5,8.85,goods,25000,Blue Razz Ice,18mL,5.0%,1
DGBXPS500202,geek bar pulse x patriot edition 25000 puffs disposable | 18ml | 5.0% | miami mint,Disposables,14.5,8.85,goods,25000,Miami Mint,18mL,5.0%,1
DGBXPS500203,geek bar pulse x patriot edition 25000 puffs disposable | 18ml | 5.0% | watermelon ice,Disposables,14.5,8.85,goods,25000,Watermelon Ice,18mL,5.0%,1
DGBPXS500216,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | white peach raspberry,Disposables,14.5,8.85,goods,5000,White Peach Raspberry,18mL,5.0%,1
DGBPXS500217,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | strawberry colada,Disposables,14.5,8.85,goods,5000,Strawberry Colada,18mL,5.0%,1
DGBPXS500218,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | sour straws,Disposables,14.5,8.85,goods,5000,Sour Straws,18mL,5.0%,1
DGBPXS500219,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | cool mint,Disposables,14.5,8.85,goods,5000,Cool Mint,18mL,5.0%,1
DGBPXS500220,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | blackberry blueberry,Disposables,14.5,8.85,goods,5000,Blackberry Blueberry,18mL,5.0%,1
DGBPUS500151,"geek bar pulse 15,000 puffs disposable sour edition | 16ml | 5.0% | sour blue dust",Disposables,13.0,6.95,goods,15000,Sour Blue Dust,16mL,5.0%,1
DGBPUS500152,"geek bar pulse 15,000 puffs disposable halloween edition | 16ml | 5.0% | haunted blueberrym",Disposables,14.99,6.95,goods,15000,Haunted BlueberryM,16mL,5.0%,1
DGBPUS500154,"geek bar pulse 15,000 puffs disposable halloween edition | 16ml | 5.0% | spooky vanilla",Disposables,14.99,6.95,goods,15000,Spooky Vanilla,16mL,5.0%,1
DGBPUS500153,"geek bar pulse 15,000 puffs disposable sour edition | 16ml | 5.0% | sour watermelon drop",Disposables,13.0,6.95,goods,15000,Sour Watermelon Drop,16mL,5.0%,1
DGBPXS500224,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | strawberry watermelon,Disposables,14.5,8.85,goods,25000,Strawberry Watermelon,18mL,5.0%,1
DGBPLS001502,"geek bar pulse zero nicotine 15,000 puffs disposable | 16ml | 0% | fcuking fab",Disposables,11.75,6.95,goods,15000,Fcuking Fab,16mL,0%,1
DGBPLS001503,"geek bar pulse zero nicotine 15,000 puffs disposable | 16ml | 0% | miami mint",Disposables,11.75,6.95,goods,15000,Miami Mint,16mL,0%,1
DGBMBS503001,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | blueberry raspberry",Disposables,13.99,8.6,goods,30000,Blueberry Raspberry,18mL,5.0%,1
DGBMBS503002,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | green apple blueberry",Disposables,13.99,8.6,goods,30000,Green Apple Blueberry,18mL,5.0%,1
DGBMBS503003,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | grumpy lime",Disposables,13.99,8.6,goods,30000,Grumpy Lime,18mL,5.0%,1
DGBMBS503004,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | magic mint",Disposables,13.99,8.6,goods,30000,Magic Mint,18mL,5.0%,1
DGBMBS503005,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | mexico mango",Disposables,13.99,8.6,goods,30000,Mexico Mango,18mL,5.0%,1
DGBMBS503006,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | peachy strawmelon",Disposables,13.99,8.6,goods,30000,Peachy Strawmelon,18mL,5.0%,1
DGBMBS503007,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | root beer",Disposables,13.99,8.6,goods,30000,Root Beer,18mL,5.0%,1
DGBMBS503008,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | stone freeze",Disposables,13.99,8.6,goods,30000,Stone Freeze,18mL,5.0%,1
DGBMBS503009,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | strawnana ice",Disposables,13.99,8.6,goods,30000,Strawnana Ice,18mL,5.0%,1
DGBMBS503010,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | summer grape",Disposables,13.99,8.6,goods,30000,Summer Grape,18mL,5.0%,1
DGBMBS503012,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | watermelon ice",Disposables,13.99,8.6,goods,30000,Watermelon Ice,18mL,5.0%,1
DGBPXS500225,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | pink & blue,Disposables,14.5,6.95,goods,25000,Pink & Blue,18mL,5.0%,1
DGBMBS503011,"geek bar meloso 30,000 puffs disposable | 18ml | 5.0% | super fcuking fab",Disposables,13.99,8.6,goods,30000,Super Fcuking Fab,18mL,5.0%,1
DGBMNS500101,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | alaskan mint,Disposables,5.25,3.6,goods,0,Alaskan Mint,5mL,5%,1
DGBMNS500102,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | blueberry ice,Disposables,5.25,3.6,goods,0,Blueberry Ice,5mL,5%,1
DGBMNS500103,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | grape jelly,Disposables,5.25,3.6,goods,0,Grape Jelly,5mL,5%,1
DGBMNS500104,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | gummy bear,Disposables,5.25,3.6,goods,0,Gummy Bear,5mL,5%,1
DGBMNS500105,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | mexico mango,Disposables,5.25,3.6,goods,0,Mexico Mango,5mL,5%,1
DGBMNS500106,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | peach berry,Disposables,5.25,3.6,goods,0,Peach Berry,5mL,5%,1
DGBMNS500109,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | strawberry banana,Disposables,5.25,3.6,goods,0,Strawberry Banana,5mL,5%,1
DGBMNS500110,geek bar meloso mini 1500 puffs disposable | 5ml | 5% | strawberry mango,Disposables,5.25,3.6,goods,0,Strawberry Mango,5mL,5%,1
DGBPUS500156,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | creamymintz,Disposables,14.5,6.95,goods,25000,Creamymintz,18mL,5.0%,1
DGBPUS500155,geek bar pulse x 25000 puffs disposable | 18ml | 5.0% | peppermintz,Disposables,14.5,6.95,goods,25000,Peppermintz,18mL,5.0%,1
DGBPXS002501,geek bar pulse x 25000 puffs disposable | 18ml | 0% | blue rancher,Disposables,14.5,8.85,goods,25000,Blue Rancher,18mL,0%,1
DGBPXS002502,geek bar pulse x 25000 puffs disposable | 18ml | 0% | miami mint,Disposables,14.5,8.85,goods,25000,Miami Mint,18mL,0%,1
DGBPXS002503,geek bar pulse x 25000 puffs disposable | 18ml | 0% | sour apple ice,Disposables,14.5,8.85,goods,25000,Sour Apple Ice,18mL,0%,1
DGBPXS002504,geek bar pulse x 25000 puffs disposable | 18ml | 0% | sour fcuking fab,Disposables,14.5,8.85,goods,25000,Sour Fcuking Fab,18mL,0%,1
DGBPXS002505,geek bar pulse x 25000 puffs disposable | 18ml | 0% | strawberry b-pop,Disposables,14.5,8.85,goods,25000,Strawberry B-Pop,18mL,0%,1
DGEBNS500501,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | apple kiwi,Disposables,4.0,2.7,goods,5000,Apple Kiwi,12mL,5.0%,1
DGEBNS500502,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | berry trio,Disposables,4.0,2.7,goods,5000,Berry Trio,12mL,5.0%,1
DGEBNS500503,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | blueberry milkshake,Disposables,4.0,2.7,goods,5000,Blueberry Milkshake,12mL,5.0%,1
DGEBNS500504,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | bluerazz lime,Disposables,4.0,2.7,goods,5000,Bluerazz Lime,12mL,5.0%,1
DGEBNS500505,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | lime cactus,Disposables,4.0,2.7,goods,5000,Lime Cactus,12mL,5.0%,1
DGEBNS500506,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | passion fruit,Disposables,4.0,2.7,goods,5000,Passion Fruit,12mL,5.0%,1
DGEBNS500507,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | peach mango,Disposables,4.0,2.7,goods,5000,Peach Mango,12mL,5.0%,1
DGEBNS500508,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | polar mint ice,Disposables,4.0,2.7,goods,5000,Polar Mint Ice,12mL,5.0%,1
DGEBNS500509,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | strawberry donuts,Disposables,4.0,2.7,goods,5000,Strawberry Donuts,12mL,5.0%,1
DGEBNS500510,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | strawberry kiwi,Disposables,4.0,2.7,goods,5000,Strawberry Kiwi,12mL,5.0%,1
DGEBNS500511,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | tropical fruit,Disposables,4.0,2.7,goods,5000,Tropical Fruit,12mL,5.0%,1
DGEBNS500512,geek bar n5k 5000 puffs disposable | 12ml | 5.0% | watermelon ice,Disposables,4.0,2.7,goods,5000,Watermelon Ice,12mL,5.0%,1
